usa,gbr,chn,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
616,110,132,51,25,127,144,24,379,8,63,332,532,187,20,8,23,22
1136,218,701,106,27,342,84,8,378,17,92,461,1857,60,19,0,16,21
956,501,123,95,23,290,149,72,456,6,70,357,170,521,49,10,25,63
464,169,105,100,63,169,68,26,147,12,94,965,127,156,44,4,28,36
525,296,188,91,10,185,155,118,223,14,108,353,45,152,41,10,29,16
562,274,196,70,30,68,104,24,348,2,81,366,105,458,28,9,25,17
467,90,404,76,20,144,110,10,73,5,92,435,41,177,8,14,385,12
519,77,143,107,215,79,56,33,46,8,106,195,82,67,7,13,96,33
691,260,168,83,76,164,145,24,131,9,56,271,45,151,20,3,73,64
517,397,359,78,43,46,187,1,179,93,229,520,36,162,17,6,38,28
556,120,813,74,17,237,142,12,109,21,165,1039,470,371,81,8,42,41
1070,746,279,72,24,145,123,22,250,14,42,244,870,96,14,15,20,29
912,217,237,140,13,164,135,6,372,5,138,214,236,150,3,7,94,34
650,257,520,64,82,87,120,7,323,9,92,267,145,356,32,7,24,26
1412,245,223,220,60,130,173,12,253,24,68,169,54,241,14,0,39,76
1192,216,294,322,48,163,173,429,191,123,128,352,148,509,127,24,70,43
1309,247,792,81,25,52,187,67,291,6,15,255,33,495,55,13,403,64
1365,315,451,60,13,84,191,75,194,3,52,225,102,674,39,4,43,35
1063,248,202,85,37,112,107,29,222,5,77,154,151,118,7,2,18,30
464,94,437,247,34,75,61,34,86,11,114,368,56,120,4,2,104,50
1070,206,346,112,41,39,90,50,149,9,80,208,142,146,40,5,129,35
831,104,261,50,82,58,221,77,194,37,106,146,97,156,21,6,33,40
932,234,215,93,60,215,537,16,165,77,666,220,148,146,14,0,28,25
1013,145,695,142,50,93,320,16,126,35,92,163,233,165,23,3,26,43
628,92,383,205,76,235,293,33,114,59,79,186,74,167,8,2,73,70
797,288,140,57,136,96,226,72,143,5,119,350,77,131,49,1,64,282
457,296,315,34,38,88,265,11,109,4,40,115,37,128,22,1,69,49
813,397,195,53,39,83,422,9,109,7,60,422,114,177,20,4,30,39
476,162,121,80,157,36,139,5,137,1,65,187,85,96,18,0,86,37
906,123,259,170,76,101,332,5,187,31,50,293,41,488,31,2,188,347
584,178,743,64,33,108,82,20,340,12,64,589,281,137,66,2,149,578
596,394,147,144,54,102,49,7,109,139,40,300,230,51,39,2,60,142
692,227,414,61,196,130,175,192,155,26,55,1006,504,163,82,12,101,99
813,169,244,433,150,301,206,71,378,250,237,260,178,86,15,8,196,95
845,248,478,498,106,257,208,28,175,247,89,716,515,151,22,8,121,48
1102,215,181,141,87,657,129,16,199,51,32,383,157,193,303,0,49,85
731,90,105,187,90,304,242,15,259,22,32,535,127,409,60,8,29,43
