usa,gbr,chn,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
541,108,140,33,25,75,136,26,412,11,55,350,306,209,20,6,8,5
739,219,690,106,6,381,56,12,356,21,85,466,974,56,17,0,9,14
1020,461,128,98,12,207,112,80,451,6,57,333,112,477,38,8,23,54
520,174,124,84,22,123,82,24,159,5,89,877,75,151,28,0,15,22
591,304,145,90,5,156,98,61,227,7,145,337,16,151,41,6,30,14
677,294,176,74,10,41,81,30,312,5,52,351,55,502,28,10,39,17
461,99,341,93,5,135,87,9,73,3,98,378,16,192,14,21,312,13
574,92,154,123,99,67,49,22,60,8,143,245,30,194,6,17,89,49
791,374,160,100,33,101,200,11,159,16,56,330,31,279,32,6,71,79
556,410,348,76,52,36,188,3,164,73,215,504,25,160,45,3,40,23
538,107,874,74,11,188,113,7,123,13,149,892,185,365,88,11,40,34
709,394,267,74,26,135,149,20,276,14,45,228,448,122,12,12,17,8
764,205,233,146,23,110,92,7,375,3,125,199,108,185,3,14,114,23
661,235,494,52,68,83,100,10,315,6,90,248,68,365,35,11,22,20
1201,291,220,288,43,88,148,14,272,16,80,200,32,245,21,0,26,55
1291,194,262,357,37,151,116,489,260,62,118,316,74,591,137,27,63,37
1230,200,617,95,12,59,144,55,360,2,5,315,23,469,58,13,352,60
1595,381,469,67,20,86,162,45,184,2,26,239,56,656,44,5,28,11
977,239,182,87,23,95,78,14,213,12,75,140,78,117,23,2,14,26
501,90,444,271,38,66,40,34,108,7,65,395,19,127,4,2,68,53
1039,240,280,84,35,79,73,46,191,3,117,208,70,158,45,3,96,19
824,135,237,61,44,68,246,53,203,38,113,136,104,241,33,3,38,32
979,209,196,61,66,259,441,32,246,74,638,193,79,238,18,0,25,17
1041,189,619,145,41,158,364,13,193,37,112,201,167,272,20,20,23,28
741,114,329,164,82,228,317,45,189,90,150,158,31,212,11,1,99,35
784,289,132,72,125,76,248,68,149,4,96,331,48,132,38,2,72,210
404,288,330,38,25,42,287,10,110,2,44,138,25,133,19,2,54,44
775,343,181,37,30,73,405,12,93,10,47,428,94,213,30,1,29,44
502,181,117,76,81,24,137,21,111,0,57,178,49,83,13,0,68,36
899,132,238,199,57,91,274,9,226,26,52,254,9,478,38,0,121,264
