gbr,chn,rus,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
312,470,541,1387,17,734,184,76,303,675,149,282,1110,66,109,43,198,120
711,689,739,855,33,259,130,64,279,305,176,266,2579,89,56,64,156,85
595,788,1020,1046,14,295,314,68,311,413,146,225,777,298,97,43,240,211
501,849,520,872,179,268,172,234,299,410,279,351,399,155,95,48,125,53
634,654,591,1898,17,269,260,718,334,829,157,379,210,241,127,23,136,101
501,1976,677,544,9,331,149,162,293,315,97,309,240,201,103,37,192,173
212,878,461,506,23,309,162,168,131,315,110,214,175,75,65,95,95,71
339,271,574,391,471,149,148,350,91,135,124,189,324,133,68,57,123,188
460,426,791,894,235,500,156,279,204,473,171,538,332,142,146,23,272,445
480,336,556,1406,76,140,177,181,196,650,143,326,276,239,72,40,288,284
463,470,538,802,54,439,161,327,190,530,180,693,1609,128,137,65,357,371
923,510,709,946,68,310,157,230,295,786,105,246,1845,147,129,58,152,401
595,478,764,352,32,202,236,99,286,164,127,362,1222,199,63,41,243,485
515,435,661,406,105,173,212,221,583,159,278,284,633,350,92,47,146,276
546,965,1201,591,59,182,336,124,376,242,121,368,405,269,96,50,173,534
377,1576,1291,338,45,201,288,65,203,158,110,407,235,299,199,27,170,194
452,1458,1230,359,47,212,220,161,150,138,69,435,229,359,158,55,180,374
409,606,1595,303,22,227,278,496,346,110,152,356,253,341,188,72,172,288
299,1102,977,875,115,148,156,515,112,246,206,381,222,110,84,74,256,348
210,681,501,565,155,219,93,253,42,283,228,252,393,110,71,63,244,473
395,854,1039,525,46,167,134,266,158,223,388,334,373,193,86,334,263,657
357,595,824,573,96,324,249,506,175,159,232,273,255,183,116,47,336,283
282,978,979,499,136,266,287,193,165,179,546,305,274,284,80,67,362,351
261,602,1041,685,78,174,286,194,196,165,144,354,230,180,146,40,214,145
