gbr,chn,rus,isr,afg,irn,eur,pak,fra,pse,tur,jpn,irq,deu,can,aus,kor,prk
349,464,616,1320,4,721,188,74,331,630,138,290,1278,91,79,54,187,124
755,735,1136,710,21,328,162,58,355,424,213,324,1616,142,80,159,147,79
603,792,956,991,14,249,285,40,361,322,114,252,681,299,88,57,203,275
524,821,464,800,133,288,185,210,296,297,183,381,285,126,100,43,94,36
644,558,525,1883,15,215,220,446,362,611,107,401,200,285,148,52,129,98
519,1945,562,400,4,240,113,120,320,240,79,325,181,191,98,24,176,123
207,807,467,510,20,269,140,175,153,271,107,216,161,88,65,97,98,59
336,291,519,414,201,157,105,423,133,168,151,209,282,142,70,81,113,172
450,465,691,885,108,469,140,258,233,424,158,554,288,180,126,50,280,398
474,355,517,1312,49,99,117,182,248,594,136,358,254,268,76,66,273,307
449,484,556,692,28,523,181,319,210,408,146,561,1012,137,110,84,368,324
733,527,1070,848,67,388,133,251,312,807,75,334,1176,228,131,81,194,395
578,501,912,346,21,217,134,128,300,147,100,352,781,229,69,54,275,442
506,467,650,413,61,221,162,207,562,134,217,328,358,353,93,68,141,255
483,897,1412,504,36,154,331,112,385,218,123,394,221,295,119,86,173,411
332,1715,1192,312,17,198,200,50,220,127,124,494,180,253,193,58,174,263
468,1540,1309,305,12,149,229,128,187,103,53,531,164,418,166,59,177,322
438,710,1365,279,34,313,230,371,385,106,174,324,167,328,207,99,197,312
300,996,1063,809,93,173,162,587,129,183,190,433,169,91,82,107,267,285
198,721,464,557,131,138,68,264,65,241,247,298,278,119,56,62,259,441
360,752,1070,505,31,147,94,260,184,207,386,389,263,209,89,289,261,645
362,600,831,502,71,325,195,295,214,104,193,303,256,245,146,58,228,289
305,997,932,377,107,299,206,273,220,130,546,349,243,311,72,74,398,358
281,645,1013,692,67,170,186,166,218,171,108,341,186,172,142,44,203,174
278,603,628,961,44,127,101,516,159,217,106,411,122,157,133,54,215,484
277,566,797,519,44,264,156,202,306,139,71,419,134,178,140,45,166,290
212,502,457,491,28,322,161,405,157,178,95,377,184,253,176,68,220,299
225,469,813,633,15,269,105,89,125,248,109,265,210,134,111,49,160,134
259,422,476,592,23,123,186,88,152,231,79,429,97,174,77,59,217,247
193,383,906,761,31,191,176,104,107,361,61,427,96,226,112,43,477,422
305,489,584,717,52,184,127,104,219,412,55,861,122,243,160,66,277,593
207,425,596,556,29,231,70,62,117,190,89,304,213,63,111,45,244,199
201,598,692,911,42,434,119,125,203,446,158,414,221,88,124,48,332,404
